"STATIONID","STRATUM","SAMPLE_PRIORITY","MEAN_BOTTOM_DEPTH","MEAN_LATITUDE","MEAN_LONGITUDE","n_total","n_bad","p_bad","PRIMARY"
"61-03",61,1,205.666666666667,59.64713,-177.864736666667,3,0,0,"Primary"
"61-18",61,2,384.5,60.317025,-178.681365,2,0,0,"Primary"
"61-08",61,3,215.666666666667,59.7918483333333,-178.672005,6,0,0,"Alternate"
"61-05",61,4,228.333333333333,59.5335933333333,-178.25753,3,0,0,"Primary"
"61-15",61,5,293,60.500465,-178.8512175,4,0,0,"Primary"
"61-13",61,6,213.5,60.2466675,-178.4960275,4,0,0,"Primary"
"61-22",61,7,222.5,59.51373,-178.15657,2,0,0,"Primary"
"61-06",61,8,265,59.491238,-178.28095,5,0,0,"Primary"
"61-14",61,9,297,60.3889825,-178.6641375,4,0,0,"Primary"
"61-17",61,10,337,59.29822,-177.689915,2,0,0,"Primary"
"61-21",61,11,335.75,60.09606,-179.0637375,4,0,0,"Primary"
"61-12",61,12,386.666666666667,60.1803533333333,-178.856013333333,3,0,0,"Primary"
"61-02",61,13,254.5,59.380945,-177.603895,2,0,0,"Alternate"
"61-20",61,14,226.666666666667,59.5247533333333,-178.074003333333,3,0,0,"Primary"
"61-07",61,15,321.6,59.634598,-178.45434,5,0,0,"Primary"
"61-16",61,16,235.5,60.60053,-178.821791666667,6,0,0,"Alternate"
"61-09",61,17,246.25,59.86099,-178.80374,4,0,0,"Alternate"
"61-01",61,18,210.8,59.189752,-177.942932,5,0,0,"Alternate"
"61-04",61,19,309.6,59.513498,-177.829102,5,0,0,"Primary"
"11-29",11,1,310,55.2984733333333,-167.917433333333,3,0,0,"Alternate"
"11-23",11,2,208.666666666667,54.7744166666667,-166.305566666667,3,0,0,"Primary"
"11-30",11,3,220,54.9470866666667,-167.155583333333,6,0,0,"Alternate"
"11-10",11,4,227.6,55.398336,-168.014992,5,0,0,"Alternate"
"11-05",11,5,206.75,54.7647125,-165.8784975,4,0,0,"Primary"
"11-06",11,6,224,54.7547833333333,-165.780703333333,3,0,0,"Primary"
"11-08",11,7,233.333333333333,54.8130533333333,-166.673926666667,3,0,0,"Primary"
"11-41",11,8,325,54.9292333333333,-167.353863333333,3,0,0,"Alternate"
"11-36",11,9,262,54.82369,-166.8392,3,0,0,"Primary"
"11-13",11,10,209.333333333333,55.1318,-167.543683333333,3,0,0,"Primary"
"11-22",11,11,314.5,54.67097,-166.09564,4,0,0,"Alternate"
"11-27",11,12,232.666666666667,55.04858,-167.43391,3,0,0,"Primary"
"11-25",11,13,368,54.7303075,-166.9922075,4,0,0,"Primary"
"11-18",11,14,362,54.598465,-165.698095,2,0,0,"Alternate"
"11-11",11,15,239.333333333333,54.8784433333333,-166.959123333333,3,0,0,"Alternate"
"11-24",11,16,368.6,54.64447,-166.74387,5,0,0,"Alternate"
"11-37",11,17,292,55.04267,-167.53625,2,0,0,"Primary"
"11-12",11,18,205.75,55.03261,-167.344835,4,0,0,"Alternate"
"11-14",11,19,210,54.760555,-166.007315,4,0,0,"Alternate"
"11-39",11,20,241,55.47629,-168.24764,2,0,0,"Alternate"
"11-15",11,21,330.2,54.633916,-165.640576,5,0,0,"Alternate"
"11-33",11,22,328,54.7364366666667,-166.84537,3,0,0,"Primary"
"11-28",11,23,350.75,55.1891375,-167.81527,4,0,0,"Primary"
"11-32",11,24,207.2,54.796432,-166.455012,5,0,0,"Alternate"
"11-42",11,25,276.5,54.73786,-166.57703,2,0,0,"Alternate"
"11-43",11,26,205.5,54.775585,-165.553505,2,0,0,"Alternate"
"11-20",11,27,305.5,54.68973,-165.76451,4,0,0,"Primary"
"11-09",11,28,213.5,54.86808,-166.820755,2,0,0,"Alternate"
"11-35",11,29,243.666666666667,55.45765,-168.198183333333,3,0,0,"Alternate"
"11-02",11,30,254.5,54.7147525,-165.5321175,4,0,0,"Alternate"
"11-21",11,31,317.333333333333,54.6778,-165.90077,3,0,0,"Primary"
"11-26",11,32,347.4,54.821276,-167.132094,5,0,0,"Alternate"
"11-07",11,33,241.4,54.734338,-166.184866,5,0,0,"Primary"
"11-34",11,34,212.333333333333,55.5678633333333,-168.46331,3,0,0,"Alternate"
"11-03",11,35,204.75,54.739775,-165.41149,4,0,0,"Alternate"
